item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details,recommend_reason
0,,100026,8220031580041300,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG,88,92,海宁市,海宁市,23009493,1100001745,海宁市,8220031580041300,3,建面 88-92㎡,88-92㎡,建面,毛坯,120.680433,30.544441,3居,欣隆府,欣隆府,吉祥欣隆府,隆兴路95号,海宁隆兴路95号,14800,14500,隆兴路95号,xlfafrze,[],[],"[{'bedroom_count': '3', 'area_range': '88.9-92.6㎡'}]","['公交直达', '低密居所', '小型社区', '娱乐丰富']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-04-99,0,1290000,14500,元/平,均价,306天,2019-01-02 09:18:54,2,,0,0,均价14500元/平,,"[{'id': 'img_4078787', 'image_id': '4078787', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG!m_fill,w_1440,l_rorate_logo'}]",14500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,131,万/套起,14714,元/平起,2018-07-27 17:53:49,130万购海宁89平米3室,0,0,[],[],243850939189604352,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604352"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100026""}",,/loupan/p_xlfafrze/,[],,[],,4,楼盘亮点,130万购海宁89平米3室,
0,,100037,8220031545444858,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/4037b42b-3dcb-4809-a6a1-a87424517d0f.png,74,118,海盐县,海盐县,23009494,1100001746,海盐县,8220031545444858,3,建面 74-118㎡,74-118㎡,建面,毛坯,120.972441,30.546993,2/3居,海盐阳光城翡丽湾,海盐阳光城翡丽湾,阳光城翡丽湾,华丰路海盐阳光城翡丽湾,海盐县武原镇滨海大道与华丰路交汇处东南侧300米,13000,12000,华丰路海盐阳光城翡丽湾,ygcflwafrzp,[],[],"[{'bedroom_count': '3', 'area_range': '98-118㎡'}]","['低密居所', '即将交房', '运动健身', '医疗配套']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '7', 'desc': '运动健身', 'color': ''}, {'id': '10', 'desc': '医疗配套', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-06-15,0,0,12000,元/平,均价,336天,2018-12-03 16:03:16,2,,0,0,均价12000元/平,,"[{'id': 'img_4078626', 'image_id': '4078626', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,118,万/套起,12033,元/平起,2018-06-13 16:28:16,,0,0,[],[],243850939189604353,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604353"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100037""}",,/loupan/p_ygcflwafrzp/,[],无,[],,,,,
0,,100328,8220031782655360,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/8680ffe8-262e-4ffb-828c-ea194be64640.jpg,87,110,平湖市,平湖市,23009495,1100001747,平湖市,8220031782655360,3,建面 87-110㎡,87-110㎡,建面,毛坯,120.979735,30.681158,2/3居,新城金樾,新城金樾,,新07省道与九场公路交汇处,浙江省嘉兴市平湖市新07省道与九场公路交汇处,13000,13000,新07省道与九场公路交汇处,xcjyafsku,[],[],"[{'bedroom_count': '2', 'area_range': '87㎡'}, {'bedroom_count': '3', 'area_range': '98㎡'}]","['公交直达', '低密居所', '即将交房', '购物方便']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-03-31,0,0,13000,元/平,均价,336天,2018-12-03 15:34:24,2,,2,0,均价13000元/平,,"[{'id': 'img_4079063', 'image_id': '4079063', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/8680ffe8-262e-4ffb-828c-ea194be64640.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/8680ffe8-262e-4ffb-828c-ea194be64640.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/8680ffe8-262e-4ffb-828c-ea194be64640.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/8680ffe8-262e-4ffb-828c-ea194be64640.jpg!m_fill,w_1440,l_rorate_logo'}]",13000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,110,万/套起,12643,元/平起,2018-06-21 16:25:34,180万购平湖住宅两室,0,0,[],[],243850939189604354,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604354"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100328""}",,/loupan/p_xcjyafsku/,[],无,[],,4,楼盘亮点,180万购平湖住宅两室,
0,,100333,8220031777413946,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/41c198d4-d300-4553-86cf-1e6708c77450.jpg,83,130,海盐县,海盐县,23009494,1100001746,海盐县,8220031777413946,3,建面 83-130㎡,83-130㎡,建面,毛坯,120.954513,30.564299,3/4居,荣安海上明月,荣安海上明月,海盐海上明月,北荡路荣安海上明月,海盐县武原新区恒峰路与北荡路交叉口,12500,13500,北荡路荣安海上明月,hyhsmyafskz,[],[],"[{'bedroom_count': '3', 'area_range': '83-100㎡'}, {'bedroom_count': '4', 'area_range': '130㎡'}]","['低密居所', '绿化率高', '购物方便', '美食云集']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-01,0,0,13500,元/平,均价,336天,2018-12-03 15:41:47,2,,0,0,均价13500元/平,,"[{'id': 'img_4078908', 'image_id': '4078908', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/41c198d4-d300-4553-86cf-1e6708c77450.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/41c198d4-d300-4553-86cf-1e6708c77450.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/41c198d4-d300-4553-86cf-1e6708c77450.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/41c198d4-d300-4553-86cf-1e6708c77450.jpg!m_fill,w_1440,l_rorate_logo'}]",13500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,112,万/套起,13493,元/平起,2018-06-21 16:04:26,,0,0,[],[],243850939189604355,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604355"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100333""}",,/loupan/p_hyhsmyafskz/,[],无,[],,,,,
0,,100422,8220032044798906,330400,嘉兴市,https://image1.ljcdn.com/newhouse-user-image/034280437b6faf7a10b768f42d35ae10.jpg,46,46,海宁市,海宁市,23009493,1100001745,海宁市,8220032044798906,3,建面 46㎡,46㎡,建面,毛坯,120.677013,30.517486,2/3居,定淘汇,定淘汇,海城大厦,海宁大道267号,海宁大道267号,15000,15000,海宁大道267号,dthafsok,[],[],"[{'bedroom_count': '2', 'area_range': '46㎡'}, {'bedroom_count': '3', 'area_range': '46㎡'}]","['小户型', 'loft', '购物方便', '美食云集']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '15', 'desc': 'loft', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",商业类,107500000010,在售,0,0,0,0,2018-07-28,0,0,15000,元/平,均价,306天,2019-01-02 09:48:31,2,,0,0,均价15000元/平,,"[{'id': 'img_4725975', 'image_id': '4725975', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/034280437b6faf7a10b768f42d35ae10.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/034280437b6faf7a10b768f42d35ae10.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/034280437b6faf7a10b768f42d35ae10.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/034280437b6faf7a10b768f42d35ae10.jpg!m_fill,w_1440,l_rorate_logo'}]",15000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,69,万/套起,15000,元/平起,2018-06-27 10:48:23,,0,0,[],[],243850939189604356,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604356"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100422""}",,/loupan/p_dthafsok/,[],无,[],,,,,
0,,100501,8220032061598032,330400,嘉兴市,https://image1.ljcdn.com/newhouse-user-image/fcabe6f49820cf63ddbf04b9392a2ccd.jpg,75,115,平湖市,平湖市,23009495,1100001747,平湖市,8220032061598032,3,建面 75-115㎡,75-115㎡,建面,毛坯,121.017264,30.727942,2/3/4居,融创海越府,融创海越府,,平成路融创海越府,平湖市平成路与新兴二路交叉口,0,16000,平成路融创海越府,rchyfafsrl,[],[],"[{'bedroom_count': '2', 'area_range': '75㎡'}, {'bedroom_count': '3', 'area_range': '89㎡'}, {'bedroom_count': '4', 'area_range': '115㎡'}]","['小户型', '公交直达', '低密居所', '大型社区']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-01-01,0,0,16000,元/平,均价,497天,2018-06-25 11:38:09,2,,2,0,均价16000元/平,,"[{'id': 'img_4725997', 'image_id': '4725997', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/fcabe6f49820cf63ddbf04b9392a2ccd.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/fcabe6f49820cf63ddbf04b9392a2ccd.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/fcabe6f49820cf63ddbf04b9392a2ccd.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/fcabe6f49820cf63ddbf04b9392a2ccd.jpg!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-06-21 13:52:02,,0,0,[],[],243850939189604357,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604357"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100501""}",,/loupan/p_rchyfafsrl/,[],无,[],,,,,
0,,100512,8220032054330042,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/b1d220f3-109a-4037-a965-5898e0d872ab.jpg,0,0,嘉善县,嘉善县,23009490,1100001742,嘉善县,8220032054330042,3,,,建面,毛坯,120.961179,30.916258,,金科集美嘉悦,金科集美嘉悦,,姚庄大道和兴学路交叉路口,嘉兴嘉善县姚庄镇姚庄大道和兴学路交叉路口,19500,19500,姚庄大道和兴学路交叉路口,jkjmjyafsrw,[],[],[],"['现房', '低密居所']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-04-01,0,0,19500,元/平,均价,357天,2018-11-12 10:39:35,2,,0,0,均价19500元/平,,"[{'id': 'img_4079480', 'image_id': '4079480', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b1d220f3-109a-4037-a965-5898e0d872ab.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b1d220f3-109a-4037-a965-5898e0d872ab.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b1d220f3-109a-4037-a965-5898e0d872ab.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b1d220f3-109a-4037-a965-5898e0d872ab.jpg!m_fill,w_1440,l_rorate_logo'}]",19500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-08-06 16:56:04,,0,0,[],[],243850939189604358,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604358"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100512""}",,/loupan/p_jkjmjyafsrw/,[],,[],,,,,
0,,100667,8220032211687151,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/09abe8ce-a1d0-47c3-8c5a-a83267a62392.png,65,85,平湖市,平湖市,23009495,1100001747,平湖市,8220032211687151,3,建面 65-85㎡,65-85㎡,建面,精装修,121.116502,30.61925,2/3居,中南漫悦湾,中南漫悦湾,,金海洋大道东侧,浙江省平湖市乍浦镇九龙山老沪杭公路南侧、金海洋大道东侧,16500,16000,金海洋大道东侧,znmywafsxv,[],[],"[{'bedroom_count': '2', 'area_range': '65㎡'}, {'bedroom_count': '3', 'area_range': '85㎡'}]","['小户型', '低密居所', '即将交房']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-15,0,0,16000,元/平,均价,336天,2018-12-03 15:33:06,2,,0,0,均价16000元/平,,"[{'id': 'img_4079620', 'image_id': '4079620', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/09abe8ce-a1d0-47c3-8c5a-a83267a62392.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/09abe8ce-a1d0-47c3-8c5a-a83267a62392.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/09abe8ce-a1d0-47c3-8c5a-a83267a62392.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/09abe8ce-a1d0-47c3-8c5a-a83267a62392.png!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,104,万/套起,16000,元/平起,2018-06-27 11:29:25,22万方湾区东方美宅,0,0,[],[],243850939189604359,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604359"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100667""}",,/loupan/p_znmywafsxv/,[],无,[],,4,楼盘亮点,22万方湾区东方美宅,
0,,100703,8220032253651658,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/7a8249d4-21aa-4e35-9588-3d64458c52f5.png,0,0,嘉善县,嘉善县,23009490,1100001742,嘉善县,8220032253651658,3,,,建面,毛坯,120.931918,30.826391,,乔克家居广场,乔克家居广场,,世纪大道乔克家居广场,嘉善大道与世纪大道两条主干道交汇处,15000,15000,世纪大道乔克家居广场,qkjjgcafszf,[],[],[],[],[],商业,107500000007,在售,0,0,0,0,2017-12-23,0,0,15000,元/平,均价,336天,2018-12-03 15:42:59,2,,0,0,均价15000元/平,,"[{'id': 'img_4079714', 'image_id': '4079714', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b3990859-9b5b-403a-92f6-8f9cee336296.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b3990859-9b5b-403a-92f6-8f9cee336296.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b3990859-9b5b-403a-92f6-8f9cee336296.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b3990859-9b5b-403a-92f6-8f9cee336296.png!m_fill,w_1440,l_rorate_logo'}]",15000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-07-31 17:19:38,,0,0,[],[],243850939189604360,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604360"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100703""}",,/loupan/p_qkjjgcafszf/,[],,[],,,,,
0,,100814,8220032381660080,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/ab5e39fc-0de7-4967-b1ab-9c233aad78da.jpg,0,0,嘉善县,嘉善县,23009490,1100001742,嘉善县,8220032381660080,3,,,建面,毛坯,120.92782529308,30.824605012199,,万联花园,万联花园,,世纪大道与车站南路交汇处,嘉兴市嘉善世纪大道与车站南路交汇处,22500,22500,世纪大道与车站南路交汇处,wlhyaftdm,['赠送车位'],[],[],"['现房', '大型社区', '购物方便', '娱乐丰富']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-01,0,0,22500,元/平,均价,336天,2018-12-03 15:36:41,2,,0,0,均价22500元/平,,"[{'id': 'img_4079773', 'image_id': '4079773', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b775b39b-0502-445e-858e-38787acd71ca.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b775b39b-0502-445e-858e-38787acd71ca.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b775b39b-0502-445e-858e-38787acd71ca.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b775b39b-0502-445e-858e-38787acd71ca.png!m_fill,w_1440,l_rorate_logo'}]",22500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-08-02 17:36:03,,0,0,[],[],243850939189604361,"{""fb_query_id"":""243850939076358144"",""fb_expo_id"":""243850939189604361"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""100814""}",,/loupan/p_wlhyaftdm/,[],无,['赠送车位'],,,,,
0,,100026,8220031580041300,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG,88,92,海宁市,海宁市,23009493,1100001745,海宁市,8220031580041300,3,建面 88-92㎡,88-92㎡,建面,毛坯,120.680433,30.544441,3居,欣隆府,欣隆府,吉祥欣隆府,隆兴路95号,海宁隆兴路95号,14800,14500,隆兴路95号,xlfafrze,[],[],"[{'bedroom_count': '3', 'area_range': '88.9-92.6㎡'}]","['公交直达', '低密居所', '小型社区', '娱乐丰富']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-04-99,0,1290000,14500,元/平,均价,306天,2019-01-02 09:18:54,2,,0,0,均价14500元/平,,"[{'id': 'img_4078787', 'image_id': '4078787', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/8067025e-1158-4478-a119-872c571dbd53.JPG!m_fill,w_1440,l_rorate_logo'}]",14500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,131,万/套起,14714,元/平起,2018-07-27 17:53:49,130万购海宁89平米3室,0,0,[],[],243850940162056192,"{""fb_query_id"":""243850940128501760"",""fb_expo_id"":""243850940162056192"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100026""}",,/loupan/p_xlfafrze/,[],,[],,4,楼盘亮点,130万购海宁89平米3室,
0,,100037,8220031545444858,330400,嘉兴市,https://image1.ljcdn.com/hdic-resblock/4037b42b-3dcb-4809-a6a1-a87424517d0f.png,74,118,海盐县,海盐县,23009494,1100001746,海盐县,8220031545444858,3,建面 74-118㎡,74-118㎡,建面,毛坯,120.972441,30.546993,2/3居,海盐阳光城翡丽湾,海盐阳光城翡丽湾,阳光城翡丽湾,华丰路海盐阳光城翡丽湾,海盐县武原镇滨海大道与华丰路交汇处东南侧300米,13000,12000,华丰路海盐阳光城翡丽湾,ygcflwafrzp,[],[],"[{'bedroom_count': '3', 'area_range': '98-118㎡'}]","['低密居所', '即将交房', '运动健身', '医疗配套']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '7', 'desc': '运动健身', 'color': ''}, {'id': '10', 'desc': '医疗配套', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-06-15,0,0,12000,元/平,均价,336天,2018-12-03 16:03:16,2,,0,0,均价12000元/平,,"[{'id': 'img_4078626', 'image_id': '4078626', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/4d7f0cda-3a47-479d-85e8-6ce950172f8a.png!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,118,万/套起,12033,元/平起,2018-06-13 16:28:16,,0,0,[],[],243850940162056193,"{""fb_query_id"":""243850940128501760"",""fb_expo_id"":""243850940162056193"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""100037""}",,/loupan/p_ygcflwafrzp/,[],无,[],,,,,
